"sources","layers"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm.idcomuni.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm.idcomuni.rt.line"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm.idprovince.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm.idcittametropol.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm.idregione.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm.idareametropol.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm.idcommont2008.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm.idcommont.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm.idcircondari.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm.idcentroamm.rt.point"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm.idunionecomuni.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm.idlineabase.rt.line"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm.idlineabase.rt.point"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambamm","rt_ambamm.idcomuni_istat.italy.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambcens","rt_amb_cens"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambcens","rt_amb_cens.centri_nuclei_2011"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambcens","rt_amb_cens.aree_prod_2011"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambcens","rt_amb_cens.centri_nuclei_2001"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.idambturist.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.idambterrcaccia.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.idasl.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.idzss.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.idatorif.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.idatorisidr.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.iddisind95.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.iddisind99.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.iddisscol.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.idsisecoloc.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.idsisproloc.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.idsisterloc.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.idfeasr_psr.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.idfeasr_asse4.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsambprogr","rt_ambprogr.idfeasr_gal.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idparnaz.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idparnaz.rt.poly.dissolve"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idpartoscoem.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idparforcas.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idpararctos.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idrisnatstat.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idparreg.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idparreg_alpiapuane.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idparreg_maremma.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idparreg_migliarino_sanrossore.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idparprov.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idrisnatprov.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idanpil.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idsir.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idsir_sir.rt.poly"
